month	total_rainfall	maximum_rainfall_in_a_day	no_of_rainy_days	mean_temp	max_temperature	temp_extremes_min
1992-02	62.4	43.2	4	27.5	33.1	22.3
1992-03	67.6	35.1	6	28.2	34.7	22.9
1992-04	160.3	94.7	13	28.4	34.6	22.5
1992-05	63.1	13.7	13	28.1	34.1	23.5
1992-06	162.8	38.4	14	28	33.6	21.1
1992-07	290.8	97.3	19	27.3	33.5	22.1
1992-08	76.1	31	11	27.8	33.6	21.7
1992-09	83.6	17.5	13	27.3	34	22.9
1992-10	233.2	45.5	20	27.4	32.9	22.9
1992-11	474.3	120.6	18	26.1	32	22.5
1992-12	502.7	105.7	23	25.5	31.4	22.2
1993-01	176.4	37.2	11	26.2	31.6	21.9
1993-02	69.2	27	8	26.7	32.7	22.7
1993-03	250.5	56.9	14	26.7	32.2	22.3
1993-04	283.9	56.7	20	27.6	33.5	21.7
1993-05	129.9	37.2	10	28.2	34.2	22.5
1993-06	115.5	29.4	17	28.5	33.3	22.7
1993-07	240	46.4	15	27.9	32.8	22.5
1993-08	106.8	53.5	11	28.6	33.9	22
1993-09	61.7	42	7	27.9	33.2	22.7
1993-10	175.5	62.7	13	27.5	33.2	22.5
1993-11	250.8	61.3	18	26.9	32.5	22.7
1993-12	308.5	67.6	19	26.5	32.9	22.4
1994-01	56.9	17.5	7	26.9	32.4	23.1
1994-02	133.5	26.3	15	27	32.5	22.6
1994-03	288.2	64.2	19	26.8	32.2	22.9
1994-04	154	46.3	15	27.9	33.6	23.2
1994-05	169.6	45.1	16	28.1	32.6	22.6
1994-06	184.7	61.1	14	28.1	33.1	22.2
1994-07	53.8	17	6	28.4	32.7	20.5
1994-08	45.1	15.5	12	28.1	32.9	22.5
1994-09	23.7	11.3	6	28.3	34.1	22
1994-10	84.7	35.4	11	27.9	34.2	22.7
1994-11	322.2	178.3	21	26.7	32.5	22.4
1994-12	425.4	133.8	18	26.9	32.6	22
1995-01	349.4	108.3	21	26.8	32.8	21.8
1995-02	334	159.3	16	26.5	32.4	22.6
1995-03	67.7	31.1	10	27.6	33.2	23.1
1995-04	242.3	73.6	16	27.9	33.5	23.5
1995-05	84.4	32.8	11	28.5	34	23.2
1995-06	63.7	45	12	28.9	34	24.3
1995-07	173.6	52.3	13	28	33	22.8
1995-08	211.6	37.9	21	27.4	32.4	22.8
1995-09	29.5	5.7	7	28.3	33	22.6
1995-10	101.1	37.1	12	27.8	34.1	22.9
1995-11	372.8	198.6	20	27	33.3	22.5
1995-12	302.5	55.6	20	26.3	32.5	22.5
1996-01	173.2	39	10	26.2	32.5	22.1
1996-02	180.2	53	11	26.5	32	22.3
1996-03	129.7	61.8	8	27.8	34.4	22.2
1996-04	178.2	55.7	15	27.8	33.6	23.2
1996-05	107.5	18.6	15	28.5	33.3	22.9
1996-06	265.8	94.3	15	28.3	33.9	22.1
1996-07	162.3	55.3	10	28.3	33.3	22.1
1996-08	258.4	64.6	18	27.4	33.1	22.3
1996-09	297	66.5	18	27.7	33.2	22.3
1996-10	300	45.8	19	27.5	33.1	22.9
1996-11	180.2	60.5	16	27.3	33.6	22.4
1996-12	185.5	72.4	15	26.6	33	22.6
1997-01	15.4	13.9	3	27.1	33.3	23.1
1997-02	105.4	35.7	8	27.4	33.7	22.3
1997-03	34.3	17.4	10	28.1	34.2	23.7
1997-04	118.4	44.6	12	28.1	34.4	22.3
1997-05	41.6	35.6	6	29.3	35.1	24.7
1997-06	78.9	25	12	29.3	34.7	23.6
1997-07	18.6	5.4	9	28.8	34	23.6
1997-08	86.6	61.4	9	28.8	34	22
1997-09	31.1	24.3	3	28.8	33.8	24.1
1997-10	78.4	36.5	8	28.2	34.5	22.8
1997-11	158.3	53.6	13	27.8	33.7	23.5
1997-12	351.9	65.8	23	27.3	32.9	23
1998-01	268.8	79.7	13	28	33.6	23.5
1998-02	32.5	11.9	5	28.9	34.6	24.3
1998-03	58.8	20.9	7	29.5	36	24.4
1998-04	187.7	64.9	13	29.2	34.8	24.2
1998-05	370.8	83.7	18	29.4	34.8	24.5
1998-06	198.8	42.8	15	28.6	34.7	22.9
1998-07	259.2	55.8	18	28.1	33.6	22.7
1998-08	195	35.5	18	27.5	32.8	23.2
1998-09	258.2	52	17	27.9	33.1	22.7
1998-10	222.7	32.4	20	28	34.5	22.5
1998-11	107.2	57.5	11	27.9	34.1	23.4
1998-12	463.4	84.4	22	26.6	32.6	22.8
1999-01	193.9	52.5	19	26.6	32.8	22.6
1999-02	67.4	32.1	9	27.2	33	22
1999-03	181.4	52.4	16	27.1	33	22
1999-04	88.5	29.2	14	28.3	34.4	23
1999-05	157.1	42.8	13	28	34.2	23.7
1999-06	103.4	34.5	13	28.2	33.7	21.8
1999-07	225.4	51.4	11	27.8	32.9	21.6
1999-08	204	42.4	13	27.5	32.9	21.9
1999-09	125.9	41.5	13	27.9	33.9	22.1
1999-10	205	32.8	20	27.2	32.5	22.4
1999-11	241.5	39	19	27.3	33.4	22.9
1999-12	340.5	76.9	17	26.8	33	22.4
2000-01	275.2	127.6	14	26.3	31.8	22.8
2000-02	237.8	39.9	18	26.6	32.4	21.7
2000-03	238.3	37.9	15	27.2	34	20.2
2000-04	311.6	87.4	20	27.5	33.4	22.6
2000-05	96.8	36.7	10	28.6	34.2	22.6
2000-06	157.5	41.7	16	27.6	33.3	22.5
2000-07	116.1	34.6	12	28.1	33.1	22.1
2000-08	113.5	28.1	18	27.5	33.3	22.2
2000-09	81.1	25.7	12	28	34.3	23.5
2000-10	120.9	38.3	14	27.8	34.1	22.9
2000-11	385.7	72	21	27.3	34.2	22.9
2000-12	236	45.8	18	27	32.6	23
2001-01	425.8	125.4	21	26.5	32.8	22.7
2001-02	86.6	28.2	11	27	32.4	23
2001-03	297.3	41.1	20	27.5	33.7	22.7
2001-04	203.3	68.9	18	27.7	33.5	23.2
2001-05	164.9	56.1	12	28.5	33.5	22.4
2001-06	137.1	49.6	11	28.2	33.6	21.5
2001-07	111.3	44.8	9	28.4	33.7	23
2001-08	158.3	36.6	14	28	33.7	22.8
2001-09	162	74.3	13	28	33.1	22.8
2001-10	252.2	77.2	20	27.6	34	22.6
2001-11	175.3	102.6	15	27.2	33.2	23.2
2001-12	609	211.1	20	26.7	33.2	22.2
2002-01	221.2	83.8	11	27	33.5	23.4
2002-02	50.8	41.7	2	27.3	32.5	22.1
2002-03	55.6	26.4	8	28.2	34.8	23.5
2002-04	116.5	39.4	13	28.6	34.3	23
2002-05	236.6	75.9	13	28.9	34.1	23.2
2002-06	83.1	45.8	12	28.7	33.3	23.7
2002-07	233.7	69.5	11	28.4	33	22.9
2002-08	54.2	17.8	14	28.5	33.6	22.4
2002-09	124.2	38.9	9	28.1	33.2	22
2002-10	10.8	3.2	7	28.7	34.6	24.1
2002-11	307.2	84	15	27.4	34	23.1
2002-12	255	38.6	24	27.2	33	23
2003-01	444.2	194.4	20	26.7	32.4	23.2
2003-02	172.9	82.2	13	27.1	32.6	22.8
2003-03	154.6	38.3	11	28.1	33.5	22.8
2003-04	159.9	42.9	20	27.9	33.7	23.4
2003-05	81.8	33	11	29.2	34.3	23.4
2003-06	50.3	23.2	12	28.9	34.3	22.4
2003-07	170.4	30.9	14	28.1	32.8	22
2003-08	193.6	64.4	13	28.2	33.1	23
2003-09	205.3	60	15	27.6	32.9	22.4
2003-10	351.4	56.6	21	27.6	33	22.6
2003-11	133.8	41.3	19	27.1	33	23
2003-12	273	92.1	17	26.5	32.2	22.3
2004-01	600.9	177.8	13	26.9	32	22
2004-02	31.9	19.2	4	27.6	34	22.6
2004-03	269.4	122.8	16	27.7	33.7	22.2
2004-04	57.1	18.1	9	28.9	35.1	24.4
2004-05	137.6	73.4	13	28.9	34.3	23.6
2004-06	127.2	68.1	8	29	33.7	22.5
2004-07	166.6	34.3	20	27.3	32.9	21.1
2004-08	185.2	111.5	8	28.3	33.5	22.1
2004-09	128.9	29.1	14	27.8	33.1	23.4
2004-10	125.6	25.3	13	27.8	34.2	23.2
2004-11	166.2	62.4	15	27.3	32.5	22.8
2004-12	139.8	36.4	14	26.8	32.7	23
2005-01	163.2	96.7	8	26.6	32.4	22.5
2005-02	8.4	7.2	3	28.5	34.7	23.5
2005-03	82.4	20.5	12	28.5	35	23
2005-04	81.7	49.6	10	28.7	35.1	23
2005-05	331.1	58.7	20	28.5	35.4	22.6
2005-06	82.3	27.6	15	28.8	33.9	23.6
2005-07	104	26.3	15	28	33.9	21.3
2005-08	58.5	13.8	13	28.2	33.6	22.5
2005-09	175.7	43.4	18	28.2	33.1	21.8
2005-10	314.5	76.2	19	27.6	33	23
2005-11	362.9	133.8	23	27.3	33.6	22.6
2005-12	166	47.3	19	27.3	33.5	22
2006-01	454.4	131.7	20	26.5	32	22.1
2006-02	115.5	44.5	8	27.5	33.3	23.3
2006-03	83.1	35.7	9	28.3	34.6	23.6
2006-04	239.8	43.3	18	27.6	34.1	23.4
2006-05	205.7	36.6	14	28.1	33.8	23.6
2006-06	236.8	37.3	16	27.8	32.7	23
2006-07	153.8	54.8	15	28.4	33.1	22.6
2006-08	127.3	30.4	14	28.3	33.1	22.1
